business_id,city,state,categories,high_category_consumption,low_category_volume,high_city_state_income,high_star_business,high_review_count
0x888d5f9bb1c9ef87:0x19aa747cabb74b93,Abbeville,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x8889266653174d8d:0xb719a2e60a518428,Alabaster,Alabama,Cleaning Services,True,False,True,True,True
0x8888dfab85845773:0x3891db3a54888d54,Alabaster,Alabama,Interior Remodeling,False,False,True,False,False
0x888925cc876b0023:0x56c38bc00d9545b2,Alabaster,Alabama,HVAC & Air Quality,True,True,True,False,False
0x88892f9e8dead30b:0x8dccd8514867355c,Alabaster,Alabama,HVAC & Air Quality,True,True,True,False,True
0x88892fcda19f24b7:0xfb18016af34c6bc3,Alabaster,Alabama,HVAC & Air Quality,True,True,True,False,True
0x888925ed56cb24bf:0x481387935c2d0b8c,Alabaster,Alabama,Handyman or Other,False,True,True,False,False
0x88892f9bf1391a13:0x9291d35d4f561a5e,Alabaster,Alabama,Handyman or Other,False,True,True,False,False
0x888a0231cc7863a7:0x74980b7a68035598,Albertville,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888a025bb561abfb:0x996d6be29bf0d8ee,Albertville,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888a1d3fb7b75cc3:0x603521a337a17fa1,Albertville,Alabama,HVAC & Air Quality,False,False,False,False,True
0x888a0334d47e4eeb:0x5177661ca0679298,Albertville,Alabama,Handyman or Other,False,False,False,False,False
0x888a1cd3da8193a5:0x5cfd1c6745ffa154,Albertville,Alabama,Landscape & Garden Services,False,False,False,True,True
0x888a4a5ce77a71cf:0xec2f2b69fa30c2c8,Alexandria,Alabama,Handyman or Other,False,False,False,False,False
0x888a4bd88852b149:0xca182711ee8bf344,Alexandria,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x888a4bad739fbaff:0x124930f0e52e9e78,Alexandria,Alabama,HVAC & Air Quality,False,False,False,False,False
0x8891e93f318e3e6d:0x72742b0d26b922df,Andalusia,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x8891ee9f9075940d:0x1527a35c5e2184a2,Andalusia,Alabama,Handyman or Other,False,False,False,True,False
0x8891ee88eb799b47:0x332e620576de6bd8,Andalusia,Alabama,HVAC & Air Quality,False,False,False,False,False
0x888a4d6b5611d5db:0x78ed211664be7068,Anniston,Alabama,Exterior Remodeling or Construction,False,False,False,False,False
0x888bb394cec8c6e9:0x497830eceafe680f,Anniston,Alabama,Exterior Remodeling or Construction,False,False,False,False,True
0x888bb39f3c6b8e27:0x409d19bf137518d0,Anniston,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888bb3eb0ff40653:0x4389d100423e1546,Anniston,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x888a4c56f8a50375:0x69e83303dc47199f,Anniston,Alabama,HVAC & Air Quality,True,False,False,False,True
0x888bb3c219abfc37:0x8d3afd184cbaec09,Anniston,Alabama,HVAC & Air Quality,True,False,False,False,True
0x888bb16102b9f293:0xfd421e5a1c0fb2dc,Anniston,Alabama,Cleaning Services,False,False,False,True,False
0x8889e71e18263c9f:0xfd12c4d36a481350,Arab,Alabama,HVAC & Air Quality,False,False,False,True,False
0x888a29fdb0c21a0d:0xfdb6555b48f3e886,Ashville,Alabama,Handyman or Other,False,False,False,True,False
0x88629282fa35cbcd:0xcccc5dc3c961a3,Athens,Alabama,Cleaning Services,False,False,False,True,False
0x88628b452f0e07b1:0xdaaae996513d8577,Athens,Alabama,Appliance Repair & Installation,False,False,False,False,False
0x88628b3d75cabcbb:0x1597eff129168126,Athens,Alabama,Handyman or Other,False,False,False,False,False
